OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,VOLTAGE,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
240,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,244,Northam 66,Operational,66,Northam,Western Australia,5,23/02/2017,,-31.65278274,116.6981601
241,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,245,Joel Terrace 132,Operational,132,East Perth,Western Australia,5,23/02/2017,,-31.94448283,115.8808007
242,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,246,Malaga,Operational,132,Malaga,Western Australia,5,23/02/2017,,-31.85395639,115.8922136
243,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,247,Padbury,Operational,132,Padbury,Western Australia,5,23/02/2017,,-31.80486952,115.7740035
244,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,248,Neerabup,Operational,330,Pinjar,Western Australia,5,23/02/2017,,-31.6792921,115.8233589
245,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,249,Guda Guda,Operational,33,Wyndham,Western Australia,5,23/02/2017,,-15.5278775,128.1883345
246,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,250,Kununurra,Operational,132,Kununurra,Western Australia,5,23/02/2017,,-15.7788658,128.740308
247,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,251,Lake Argyle,Operational,132,Lake Argyle,Western Australia,4,23/02/2017,,-16.10520409,128.7438008
248,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,252,Argyle Diamond Mine,Operational,132,Lake Argyle,Western Australia,5,23/02/2017,,-16.71628385,128.4038786
249,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,253,Townsville East,Operational,132,South Townsville,Queensland,5,23/02/2017,,-19.261779,146.8337675
250,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,254,Catagunya,Operational,220,Ouse,Tasmania,5,23/02/2017,,-42.4516143,146.5986439
251,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,255,Lake Echo,Operational,110,Dee,Tasmania,5,23/02/2017,,-42.25400067,146.6204676
252,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,256,Mowbray,Operational,110,Mowbray,Tasmania,5,23/02/2017,,-41.40923041,147.1364224
253,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,257,Basslink-George Town,Operational,400,George Town,Tasmania,5,23/02/2017,,-41.1143705,146.8921315
254,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,258,Paloona,Operational,110,Paloona,Tasmania,5,23/02/2017,,-41.2829355,146.2495775
255,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,259,Hampshire,Operational,110,Hampshire,Tasmania,3,23/02/2017,,-41.26981188,145.7274275
256,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,260,Meadowbank,Operational,110,Meadowbank,Tasmania,5,23/02/2017,,-42.609532,146.8463295
257,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,261,Cluny,Operational,220,Ouse,Tasmania,5,23/02/2017,,-42.505847,146.6796355
258,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,263,Butlers Gorge Tee,Operational,110,Butlers Gorge,Tasmania,5,23/02/2017,,-42.2544325,146.3099315
259,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,264,Monash,Operational,132,Monash,South Australia,5,23/02/2017,,-34.23768918,140.5969743
260,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,265,Prospect,Operational,66,Prospect,South Australia,5,23/02/2017,,-34.88043697,138.5847888
261,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,266,Roseworthy,Operational,132,Nuriootpa,South Australia,5,23/02/2017,,-34.54870596,138.7610555
262,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,267,Dry Creek,Operational,66,Port Adelaide,South Australia,5,23/02/2017,Gas,-34.84808251,138.5817415
263,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,268,Canowie,Operational,275,Canowie,South Australia,5,23/02/2017,,-33.3466424,138.7518677
264,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,269,Olympic Dam West,Operational,275,Olympic Dam,South Australia,5,23/02/2017,,-30.44916602,136.860475
265,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,270,Prominent Hill,Operational,132,Mount Eba,South Australia,1,23/02/2017,,-29.68504,135.59131
266,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,271,Sleaford,Operational,132,Sleaford,South Australia,5,23/02/2017,,-34.850022,135.594413
267,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,272,Playford B,Non-Operational,275,Port Paterson,South Australia,5,23/02/2017,,-32.53832346,137.7838106
268,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,273,Torrens Island A,Operational,275,Port Adelaide,South Australia,5,23/02/2017,,-34.80786168,138.5231515
269,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,274,Torrens Island B,Operational,275,Port Adelaide,South Australia,5,23/02/2017,,-34.80616652,138.5245909
270,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,275,Le Fevre,Operational,275,Osborne,South Australia,5,23/02/2017,,-34.77959332,138.5092707
271,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,276,Torrens North,Operational,132,Port Adelaide,South Australia,5,23/02/2017,,-34.77952125,138.5218458
272,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,277,Pelican Point,Operational,275,Port Adelaide,South Australia,5,23/02/2017,,-34.76555372,138.5069119
273,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,278,Tungkillo,Operational,275,Tungkillo,South Australia,5,23/02/2017,,-34.87774891,139.0595036
274,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,279,Mayura,Operational,132,Mayura,South Australia,3,23/02/2017,,-37.7378365,140.3878255
275,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,280,Bundamba,Operational,132,Bundamba,Queensland,5,23/02/2017,,-27.59391862,152.8182284
276,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,281,Edmonton,Operational,132,White Rock,Queensland,5,23/02/2017,,-16.97765087,145.7548607
277,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,282,El Arish,Operational,132,Maria Creeks,Queensland,5,23/02/2017,,-17.80963911,146.0255797
278,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,283,Woree,Operational,275,Woree,Queensland,5,23/02/2017,,-16.95595307,145.7518136
279,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,284,Strathmore,Operational,275,Springlands,Queensland,5,23/02/2017,,-20.49918551,147.7753644
280,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,285,Coppabella,Operational,132,Coppabella,Queensland,5,23/02/2017,,-21.91297717,148.3528022
281,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,286,Traveston,Operational,132,Traveston,Queensland,5,23/02/2017,,-26.31801221,152.7777714
282,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,287,Callide A ,Operational,132,Mount Murchison,Queensland,5,23/02/2017,,-24.334319,150.628405
283,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,288,Gladstone North,Operational,132,Callemondah,Queensland,5,23/02/2017,,-23.84586292,151.2165571
284,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,289,Queensland Alumina Limited,Operational,132,South Trees,Queensland,5,23/02/2017,,-23.865468,151.292849
285,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,290,Gladstone,Operational,275,Callemondah,Queensland,5,23/02/2017,,-23.85071379,151.2168754
286,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,291,Oakey,Operational,110,Oakey,Queensland,5,23/02/2017,,-27.41960458,151.6795076
287,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,292,South Toowoomba,Operational,110,Kearneys Spring,Queensland,5,23/02/2017,,-27.6134135,151.938155
288,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,293,Wulkuraka,Operational,110,Wulkuraka,Queensland,5,23/02/2017,,-27.6116796,152.7266984
289,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,294,Columboola 1,Operational,132,Columboola,Queensland,5,23/02/2017,,-26.64841094,150.278592
290,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,295,Greenbank,Operational,275,Greenbank,Queensland,5,23/02/2017,,-27.73227582,152.9563731
291,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,296,Galston,Operational,132,Galston,New South Wales,5,23/02/2017,,-33.65796919,151.0409658
292,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,297,Fisher,Operational,220,Mersey Forest,Tasmania,5,23/02/2017,,-41.67330734,146.2683477
293,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,298,Lemonthyme,Operational,220,Mersey Forest,Tasmania,5,23/02/2017,,-41.60416954,146.1390593
294,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,299,Cethana,Operational,220,Cethana,Tasmania,4,23/02/2017,,-41.478738,146.134909
295,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,300,Wayatinah,Operational,220,Wayatinah,Tasmania,5,23/02/2017,,-42.4257885,146.5347265
296,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,301,North Hobart,Operational,110,North Hobart,Tasmania,5,23/02/2017,,-42.87326184,147.3210127
297,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,302,Boyer,Operational,110,Boyer,Tasmania,5,23/02/2017,,-42.779431,147.101065
298,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,303,New Norfolk,Operational,110,New Norfolk,Tasmania,5,23/02/2017,,-42.7799455,147.0766645
299,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,304,Tarraleah,Operational,110,Tarraleah,Tasmania,5,23/02/2017,,-42.30038859,146.4577855
300,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,305,Palmwoods,Operational,275,Landers Shoot,Queensland,5,23/02/2017,,-26.70697037,152.9370253
301,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,306,Sumner,Operational,110,Darra,Queensland,5,23/02/2017,,-27.55761863,152.945134
302,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,307,Goodna,Operational,275,Redbank,Queensland,5,23/02/2017,,-27.62080037,152.8780741
303,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,308,Algester,Operational,110,Algester,Queensland,5,23/02/2017,,-27.59898653,153.0315263
304,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,309,Coomera,Operational,110,Upper Coomera,Queensland,5,23/02/2017,,-27.85522048,153.2937793
305,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,310,Robina,Operational,110,Robina,Queensland,5,23/02/2017,,-28.0697085,153.3763475
306,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,311,Narrabri,Operational,132,Narrabri,New South Wales,5,23/02/2017,,-30.31696377,149.7977133
307,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,312,Moree,Operational,132,Moree,New South Wales,5,23/02/2017,,-29.48521925,149.8556033
308,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,313,Dumeresq,Operational,330,Bonshaw,New South Wales,5,23/02/2017,,-29.20311995,151.3288629
309,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,314,Inverell,Operational,132,Inverell,New South Wales,5,23/02/2017,,-29.78553353,151.1593435
310,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,315,Glen Innes,Operational,132,Glen Innes,New South Wales,5,23/02/2017,,-29.70674771,151.7731358
311,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,316,Tenterfield,Operational,132,Tenterfield,New South Wales,5,23/02/2017,,-29.05755201,152.039187
312,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,317,Casino,Operational,66,Yorklea,New South Wales,5,23/02/2017,,-28.89035163,153.048542
313,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,318,Terranora,Operational,132,Terranora,New South Wales,5,23/02/2017,,-28.24114857,153.5035479
314,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,319,Dunoon,Operational,132,Dunoon,New South Wales,5,23/02/2017,,-28.69214723,153.3131433
315,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,320,Mullumbimby,Operational,132,Wilsons Creek,New South Wales,5,23/02/2017,,-28.57120456,153.452796
316,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Bulk Supply Point,321,Lismore 132,Operational,132,South Lismore,New South Wales,5,23/02/2017,,-28.81892858,153.2434501
317,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,322,Raleigh,Operational,66,Raleigh,New South Wales,5,23/02/2017,,-30.46264602,153.0012939
318,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,323,Port Macquarie,Operational,132,Thrumster,New South Wales,5,23/02/2017,,-31.44982294,152.8354461
319,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,324,Rothbury,Operational,132,Rothbury,New South Wales,5,23/02/2017,,-32.71211915,151.3276606
320,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,325,Capral,Operational,132,Loxford,New South Wales,5,23/02/2017,,-32.7856318,151.4795463
321,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,326,Stroud,Operational,132,Stroud Road,New South Wales,5,23/02/2017,,-32.3476006,151.9283846
322,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,327,Bayswater,Operational,500,Muswellbrook,New South Wales,5,23/02/2017,,-32.3994582,150.9460989
323,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,328,Liddell,Operational,330,Muswellbrook,New South Wales,5,23/02/2017,,-32.37124072,150.9750383
324,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,329,Vales Point,Operational,330,Mannering Park,New South Wales,5,23/02/2017,,-33.15916442,151.5416646
325,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,330,Munmorah,Operational,330,Colongra,New South Wales,5,23/02/2017,,-33.20980153,151.5401028
326,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,331,Eraring,Operational,330,Eraring,New South Wales,5,23/02/2017,,-33.06259732,151.515431
327,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,332,Coffs Harbour,Operational,330,Karangi,New South Wales,5,23/02/2017,,-30.25283746,153.0369103
328,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,333,Kempsey,Operational,132,South Kempsey,New South Wales,5,23/02/2017,,-31.09819845,152.8193008
329,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,334,Tamworth,Operational,132,Hillvue,New South Wales,5,23/02/2017,,-31.13134734,150.924909
330,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,335,Tamworth,Operational,330,Calala,New South Wales,5,23/02/2017,,-31.14681288,150.951367
331,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,336,Armidale,Operational,330,Armidale,New South Wales,5,23/02/2017,,-30.53269875,151.7129952
332,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,337,Maroubra,Operational,132,Maroubra,New South Wales,5,23/02/2017,,-33.94231012,151.2379975
333,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Bulk Supply Point,338,Beaconsfield West,Operational,330,Alexandria,New South Wales,5,23/02/2017,,-33.91506805,151.1872355
334,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,339,St Peters,Operational,132,Erskineville,New South Wales,5,23/02/2017,,-33.9066129,151.1830853
335,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,340,Marrickville,Operational,132,Marrickville,New South Wales,5,23/02/2017,,-33.91203954,151.1622971
336,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,341,Meadowbank,Operational,132,Meadowbank,New South Wales,5,23/02/2017,,-33.81361728,151.0936701
337,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,342,Macquarie Park,Operational,132,Macquarie Park,New South Wales,5,23/02/2017,,-33.78672468,151.1329128
338,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,343,Green Square,Operational,132,Alexandria,New South Wales,5,23/02/2017,,-33.91232539,151.194463
339,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,344,Peakhurst,Operational,132,Mortdale,New South Wales,5,23/02/2017,,-33.96629447,151.0626639
340,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,345,Haymarket,Operational,330,Haymarket,New South Wales,5,23/02/2017,,-33.88141732,151.2022468
341,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,346,Warrimoo,Operational,132,Warrimoo,New South Wales,5,23/02/2017,,-33.73303758,150.6029665
342,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,347,Mount Druitt,Operational,132,North St Marys,New South Wales,5,23/02/2017,,-33.76358037,150.7920815
343,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,348,Penrith,Operational,132,Penrith,New South Wales,5,23/02/2017,,-33.74658609,150.6923709
344,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Bulk Supply Point,349,Macarthur,Operational,330,Menangle Park,New South Wales,5,23/02/2017,,-34.08528132,150.7663115
345,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,350,Liverpool,Operational,330,Prestons,New South Wales,5,23/02/2017,,-33.93267276,150.8657731
346,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,351,Tallawarra,Operational,132,Yallah,New South Wales,5,23/02/2017,,-34.52224741,150.8071537
347,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,352,Kangaroo Valley,Operational,330,Kangaroo Valley,New South Wales,5,23/02/2017,,-34.72380026,150.4817139
348,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,353,Lower Tumut,Operational,330,Talbingo,New South Wales,5,23/02/2017,,-35.60647332,148.2886573
349,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,354,Jindabyne,Operational,66,Jindabyne,New South Wales,5,23/02/2017,,-36.41475631,148.5980544
350,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,355,Forbes,Operational,132,Forbes,New South Wales,5,23/02/2017,,-33.36528754,148.0196618
351,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,356,Buronga,Operational,220,Wentworth,New South Wales,5,23/02/2017,,-34.10282952,142.259513
352,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,357,Portland Aluminium,Operational,500,Portland,Victoria,5,23/02/2017,,-38.38686139,141.6255497
353,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,358,Wodonga,Operational,330,Baranduda,Victoria,5,23/02/2017,,-36.15481513,146.9501485
354,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,359,Hume,Operational,132,Lake Hume Village,New South Wales,5,23/02/2017,,-36.10540959,147.0325562
355,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,360,Clover,Operational,66,Bogong,Victoria,5,23/02/2017,Hydro,-36.78578336,147.2194456
356,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,361,Jeeralang,Operational,220,Hazelwood North,Victoria,5,23/02/2017,,-38.27692112,146.4244822
357,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,362,East Rowville,Operational,220,Rowville,Victoria,5,23/02/2017,,-37.94095825,145.2363406
358,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,363,Waubra,Operational,220,Waubra,Victoria,5,23/02/2017,,-37.3559815,143.605915
359,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,364,Anglesea,Non-Operational,220,Anglesea,Victoria,5,23/02/2017,,-38.38547951,144.1836857
360,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,365,Malvern,Operational,220,Malvern East,Victoria,5,23/02/2017,,-37.8778287,145.0844323
361,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,366,Brunswick,Operational,220,Brunswick East,Victoria,5,23/02/2017,,-37.77266982,144.9843333
362,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,367,West Melbourne,Operational,220,Kensington,Victoria,5,23/02/2017,,-37.80034051,144.9348533
363,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,368,Richmond,Operational,220,Richmond,Victoria,5,23/02/2017,,-37.83113541,145.0015809
364,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,369,Yallourn,Operational,220,Yallourn,Victoria,5,23/02/2017,,-38.17413773,146.3499137
365,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,370,Morwell,Operational,220,Morwell,Victoria,5,23/02/2017,,-38.2588285,146.4198975
366,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,371,Morwell,Operational,66,Morwell,Victoria,5,23/02/2017,,-38.2571645,146.4208465
367,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,372,Basslink-Loy Yang,Operational,500,Loy Yang,Victoria,5,23/02/2017,,-38.26230304,146.6080845
368,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,373,Western Port,Operational,220,Hastings,Victoria,5,23/02/2017,,-38.28193744,145.2083069
369,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,374,Somerton ,Operational,66,Somerton,Victoria,5,23/02/2017,Gas,-37.6313695,144.9529774
370,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,375,Ringwood,Operational,220,Ringwood,Victoria,5,23/02/2017,,-37.82083468,145.2155772
371,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,376,Boambee South,Operational,132,Boambee,New South Wales,5,23/02/2017,,-30.34512337,153.0673105
372,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,377,Nambucca,Operational,132,Valla,New South Wales,5,23/02/2017,,-30.62033395,152.9584911
373,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,378,South Morang,Operational,500,South Morang,Victoria,5,23/02/2017,,-37.64448216,145.0784356
374,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,379,Heywood,Operational,500,Heywood,Victoria,5,23/02/2017,,-38.180773,141.639092
375,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,380,Mount Beauty,Operational,220,Mount Beauty,Victoria,5,23/02/2017,,-36.7438865,147.1658615
376,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,381,Eildon,Operational,220,Eildon,Victoria,5,23/02/2017,,-37.22370778,145.9209195
377,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,382,Glenrowan,Operational,220,Winton,Victoria,5,23/02/2017,,-36.49350287,146.1319724
378,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,383,Fosterville,Operational,220,Axedale,Victoria,5,23/02/2017,,-36.7382295,144.5106208
379,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,384,Chullora,Operational,132,Strathfield,New South Wales,5,23/02/2017,,-33.8789595,151.0658015
380,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Bulk Supply Point,385,Sydney North,Operational,330,Dural,New South Wales,5,23/02/2017,,-33.6556305,151.0301025
381,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,386,Mason Park,Operational,132,Homebush,New South Wales,5,23/02/2017,,-33.8563485,151.074597
382,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,387,Sydney East,Operational,330,Belrose,New South Wales,5,23/02/2017,,-33.7258225,151.2082815
383,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,388,Golden Grove,Operational,132,Yalgoo,Western Australia,5,23/02/2017,,-28.7448535,116.942231
384,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,389,Regans,Operational,132,Orange Springs,Western Australia,5,23/02/2017,,-31.01021167,115.7130442
385,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,390,Bannaby,Operational,330,Bannaby,New South Wales,5,23/02/2017,,-34.4417455,150.051059
386,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,391,Wallerawang,Operational,330,Wallerawang,New South Wales,5,23/02/2017,,-33.40641184,150.0810697
387,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,392,Wallerawang,Operational,330,Wallerawang,New South Wales,5,23/02/2017,,-33.40318111,150.080755
388,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,393,Orange,Operational,132,Orange,New South Wales,5,23/02/2017,,-33.2796915,149.1059045
389,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,394,Wellington Town,Operational,132,Wellington,New South Wales,5,23/02/2017,,-32.57035042,148.9547361
390,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,395,Mount Piper,Operational,500,Blackmans Flat,New South Wales,5,23/02/2017,,-33.36388454,150.0261141
391,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,396,Panorama,Operational,132,Evans Plains,New South Wales,5,23/02/2017,,-33.43021987,149.5213612
392,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,397,Mudgee,Operational,132,Mudgee,New South Wales,5,23/02/2017,,-32.58596233,149.5693477
393,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,398,Wellington,Operational,330,Wuuluman,New South Wales,5,23/02/2017,,-32.52717028,148.9631647
394,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,399,Ilford,Operational,132,Ilford,New South Wales,5,23/02/2017,,-32.95953657,149.8635928
395,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,400,Cooma,Operational,132,Cooma,New South Wales,5,23/02/2017,,-36.21819931,149.1402751
396,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,401,Burrinjuck,Operational,132,Burrinjuck,New South Wales,5,23/02/2017,,-35.00094752,148.5824659
397,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,402,Tumut 2,Operational,330,Cabramurra,New South Wales,5,23/02/2017,,-35.8813841,148.3672174
398,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,403,Gadara,Operational,110,Gadara,New South Wales,5,23/02/2017,,-35.29615899,148.1354816
399,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,404,Guthega,Operational,132,Kosciuszko National Park,New South Wales,4,23/02/2017,,-36.34944291,148.4134294
