OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,VOLTAGE,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
91,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,92,Bluff,Operational,110,Bluff,Queensland,3,23/02/2017,,-23.58807253,149.039849
92,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,93,Kumbarilla Park,Operational,275,Kumbarilla,Queensland,3,23/02/2017,,-27.23043362,150.8498045
93,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,94,Western Downs,Operational,275,Hopeland,Queensland,4,23/02/2017,,-26.93097942,150.7335293
94,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,95,Calliope River,Operational,275,Callemondah,Queensland,5,23/02/2017,,-23.85593019,151.1923772
95,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,96,Raglan,Operational,275,Raglan,Queensland,5,23/02/2017,,-23.75134847,150.8378066
96,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,97,Edgewater,Operational,132,Edgewater,Western Australia,5,23/02/2017,,-31.77299809,115.7811335
97,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,98,Kewdale,Operational,132,Kewdale,Western Australia,5,23/02/2017,,-31.97497111,115.9537636
98,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,99,Cockburn Cement Limited,Operational,132,Munster,Western Australia,5,23/02/2017,,-32.151688,115.8011145
99,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,100,Kwinana Stage C,Operational,330,Naval Base,Western Australia,5,23/02/2017,,-32.2026145,115.7741335
100,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,101,Alinta-Wagerup,Operational,330,Wagerup,Western Australia,5,23/02/2017,,-32.9150223,115.9220165
101,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,103,Karara Mine,Operational,330,Rothsay,Western Australia,1,23/02/2017,,-29.18731526,116.7584855
102,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,104,Three Springs,Operational,330,Womarden,Western Australia,5,23/02/2017,,-29.51923701,115.7961759
103,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,105,Ron Goodin,Operational,22,Sadadeen,Northern Territory,5,23/02/2017,,-23.70898865,133.8921331
104,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,106,Archer,Operational,66,Archer,Northern Territory,1,23/02/2017,,-12.51810605,130.9738856
105,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,107,Oonoonba,Operational,66,Oonoonba,Queensland,5,23/02/2017,,-19.30639038,146.8238211
106,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,108,Rasmussen,Operational,66,Rasmussen,Queensland,1,23/02/2017,,-19.363922,146.7201805
107,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,109,Neil Smith,Operational,66,Townsville City,Queensland,5,23/02/2017,,-19.261259,146.8134905
108,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,110,Townsville Port,Operational,66,South Townsville,Queensland,5,23/02/2017,,-19.26023652,146.8328519
